customer_id,first_name,last_name,age,city,occupation,annual_income,risk_country_flag,full_name,same_name_count,potential_duplicate
CUST_00001,Rahul,Patel,19,Chennai,Doctor,1236213,0,rahul patel,3,1
CUST_00002,Vivaan,Verma,23,Kolkata,Software Engineer,424978,0,vivaan verma,4,1
CUST_00003,Arjun,Verma,56,Mumbai,Doctor,2585650,0,arjun verma,3,1
CUST_00004,Kavya,Nair,35,Mumbai,Teacher,2072573,0,kavya nair,3,1
CUST_00005,Aditya,Das,66,Pune,Business Owner,689004,0,aditya das,4,1
CUST_00006,Ananya,Singh,56,Chennai,Software Engineer,2226967,0,ananya singh,3,1
CUST_00007,Meera,Gupta,23,Chennai,Student,2721590,0,meera gupta,6,1
CUST_00008,Vivaan,Sharma,60,Hyderabad,Consultant,634671,0,vivaan sharma,3,1
CUST_00009,Vikram,Patel,42,Chennai,Manager,2966253,0,vikram patel,6,1
CUST_00010,Aditya,Singh,40,Hyderabad,Consultant,599483,0,aditya singh,4,1
CUST_00011,Aditya,Verma,64,Hyderabad,Teacher,2238859,0,aditya verma,2,1
CUST_00012,Meera,Verma,32,Pune,Software Engineer,1260697,0,meera verma,3,1
CUST_00013,Neha,Singh,43,Chennai,Business Owner,1184926,0,neha singh,4,1
CUST_00014,Priya,Singh,31,Ahmedabad,Accountant,2996316,0,priya singh,3,1
CUST_00015,Rohan,Reddy,33,Chennai,Accountant,2747514,0,rohan reddy,4,1
CUST_00016,Arjun,Reddy,50,Ahmedabad,Business Owner,497620,0,arjun reddy,2,1
CUST_00017,Aditya,Reddy,68,Kolkata,Business Owner,1913831,0,aditya reddy,3,1
CUST_00018,Kavya,Verma,34,Mumbai,Business Owner,2552216,0,kavya verma,5,1
CUST_00019,Neha,Singh,25,Chennai,Accountant,963361,0,neha singh,4,1
CUST_00020,Kiran,Kumar,50,Bengaluru,Business Owner,2922699,0,kiran kumar,5,1
CUST_00021,Rahul,Verma,56,Hyderabad,Teacher,1868308,0,rahul verma,4,1
CUST_00022,Sneha,Verma,18,Pune,Manager,381691,0,sneha verma,4,1
CUST_00023,Ananya,Kumar,33,Mumbai,Doctor,2679667,0,ananya kumar,4,1
CUST_00024,Vivaan,Rao,70,Delhi,Teacher,838512,0,vivaan rao,2,1
CUST_00025,Sneha,Reddy,34,Kolkata,Doctor,2561971,0,sneha reddy,5,1
CUST_00026,Kiran,Das,63,Chennai,Accountant,1866239,0,kiran das,8,1
CUST_00027,Sneha,Rao,25,Hyderabad,Doctor,568544,0,sneha rao,4,1
CUST_00028,Priya,Verma,32,Hyderabad,Software Engineer,597766,0,priya verma,3,1
CUST_00029,Aarav,Das,22,Mumbai,Student,597197,0,aarav das,5,1
CUST_00030,Rohan,Rao,31,Bengaluru,Manager,1319204,0,rohan rao,6,1
CUST_00031,Neha,Gupta,30,Delhi,Business Owner,2107959,0,neha gupta,6,1
CUST_00032,Diya,Rao,73,Mumbai,Business Owner,554227,0,diya rao,4,1
CUST_00033,Ananya,Patel,33,Hyderabad,Doctor,2549345,0,ananya patel,6,1
CUST_00034,Diya,Reddy,35,Ahmedabad,Doctor,616187,0,diya reddy,5,1
CUST_00035,Vikram,Verma,24,Mumbai,Software Engineer,691172,0,vikram verma,6,1
CUST_00036,Vikram,Das,28,Kolkata,Manager,2318963,0,vikram das,3,1
CUST_00037,Diya,Sharma,28,Kolkata,Software Engineer,1937547,0,diya sharma,3,1
CUST_00038,Neha,Rao,36,Kolkata,Manager,949264,0,neha rao,6,1
CUST_00039,Arjun,Sharma,55,Mumbai,Student,539768,0,arjun sharma,2,1
CUST_00040,Kavya,Verma,72,Bengaluru,Software Engineer,2429987,0,kavya verma,5,1
CUST_00041,Aditya,Patel,56,Delhi,Doctor,1993557,0,aditya patel,5,1
CUST_00042,Meera,Nair,33,Mumbai,Business Owner,2058356,0,meera nair,2,1
CUST_00043,Priya,Verma,38,Chennai,Doctor,1617782,0,priya verma,3,1
CUST_00044,Diya,Reddy,60,Chennai,Manager,1626143,0,diya reddy,5,1
CUST_00045,Meera,Patel,18,Ahmedabad,Business Owner,607277,0,meera patel,2,1
CUST_00046,Sneha,Kumar,26,Pune,Business Owner,1324603,0,sneha kumar,3,1
CUST_00047,Aditya,Rao,71,Chennai,Software Engineer,2626170,0,aditya rao,3,1
CUST_00048,Rahul,Patel,74,Bengaluru,Consultant,784142,0,rahul patel,3,1
CUST_00049,Kiran,Verma,27,Chennai,Consultant,2836840,0,kiran verma,4,1
CUST_00050,Ananya,Das,61,Chennai,Manager,1353278,0,ananya das,4,1
CUST_00051,Vikram,Sharma,23,Kolkata,Consultant,484913,0,vikram sharma,6,1
CUST_00052,Neha,Reddy,58,Chennai,Teacher,2153192,0,neha reddy,7,1
CUST_00053,Diya,Verma,18,Delhi,Business Owner,925178,0,diya verma,4,1
CUST_00054,Vikram,Singh,55,Bengaluru,Accountant,834545,0,vikram singh,3,1
CUST_00055,Ananya,Sharma,75,Pune,Doctor,1346603,0,ananya sharma,2,1
CUST_00056,Ananya,Verma,74,Kolkata,Teacher,1292948,0,ananya verma,8,1
CUST_00057,Neha,Reddy,74,Kolkata,Software Engineer,1052293,0,neha reddy,7,1
CUST_00058,Ananya,Gupta,69,Hyderabad,Consultant,967724,0,ananya gupta,4,1
CUST_00059,Vivaan,Gupta,73,Mumbai,Manager,1232954,0,vivaan gupta,2,1
CUST_00060,Meera,Rao,40,Chennai,Doctor,1235009,0,meera rao,5,1
CUST_00061,Arjun,Gupta,39,Chennai,Business Owner,1470735,0,arjun gupta,6,1
CUST_00062,Sneha,Gupta,61,Pune,Software Engineer,783778,0,sneha gupta,4,1
